title,category,price_gbp,rating,in_stock,price_inr
A Light in the Attic,All products,51.77,3,True,5461.735000000001
Tipping the Velvet,All products,53.74,1,True,5669.570000000001
Soumission,All products,50.1,1,True,5285.55
Sharp Objects,All products,47.82,4,True,5045.01
Sapiens: A Brief History of Humankind,All products,54.23,5,True,5721.264999999999
The Requiem Red,All products,22.65,1,True,2389.575
The Dirty Little Secrets of Getting Your Dream Job,All products,33.34,4,True,3517.3700000000003
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",All products,17.93,3,True,1891.615
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,All products,22.6,4,True,2384.3
The Black Maria,All products,52.15,1,True,5501.825
"Starving Hearts (Triangular Trade Trilogy, #1)",All products,13.99,2,True,1475.945
Shakespeare's Sonnets,All products,20.66,4,True,2179.63
Set Me Free,All products,17.46,5,True,1842.0300000000002
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),All products,52.29,5,True,5516.595
Rip it Up and Start Again,All products,35.02,5,True,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",All products,57.25,3,True,6039.875
Olio,All products,23.88,1,True,2519.3399999999997
Mesaerion: The Best Science Fiction Stories 1800-1849,All products,37.59,1,True,3965.7450000000003
Libertarianism for Beginners,All products,51.33,2,True,5415.315
It's Only the Himalayas,All products,45.17,2,True,4765.435
In Her Wake,All products,12.84,1,True,1354.62
How Music Works,All products,37.32,2,True,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",All products,30.52,3,True,3219.86
Chase Me (Paris Nights #2),All products,25.27,5,True,2665.985
Black Dust,All products,34.53,5,True,3642.915
Birdsong: A Story in Pictures,All products,54.64,3,True,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,All products,22.5,3,True,2373.75
Aladdin and His Wonderful Lamp,All products,53.13,3,True,5605.215
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,All products,40.3,5,True,4251.65
Wall and Piece,All products,44.18,4,True,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,All products,17.66,5,True,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,All products,31.05,3,True,3275.775
The Elephant Tree,All products,23.82,5,True,2513.01
The Bear and the Piano,All products,36.89,1,True,3891.895
Sophie's World,All products,15.94,5,True,1681.6699999999998
Penny Maybe,All products,33.29,3,True,3512.095
Maude (1883-1993):She Grew Up with the country,All products,18.02,2,True,1901.11
"In a Dark, Dark Wood",All products,19.63,1,True,2070.9649999999997
Behind Closed Doors,All products,52.22,4,True,5509.21
You can't bury them all: Poems,All products,33.63,2,True,3547.965
Slow States of Collapse: Poems,All products,57.31,3,True,6046.205
Reasons to Stay Alive,All products,26.41,2,True,2786.255
Private Paris (Private #10),All products,47.61,5,True,5022.855
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,All products,23.11,5,True,2438.105
Without Borders (Wanderlove #1),All products,45.07,2,True,4754.885
When We Collided,All products,31.77,1,True,3351.735
"We Love You, Charlie Freeman",All products,50.27,5,True,5303.485000000001
Untitled Collection: Sabbath Poems 2014,All products,14.27,4,True,1505.485
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",All products,44.18,4,True,4660.99
Unicorn Tracks,All products,18.78,3,True,1981.2900000000002
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",All products,25.52,1,True,2692.36
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),All products,16.28,1,True,1717.5400000000002
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,All products,31.12,3,True,3283.1600000000003
